snapshot,ndcg,kendall_tau,nmi,num_nodes,num_edges,num_communities
0,0.9581471706859533,,,570,1378,15
1,0.9760584369882959,0.6729179547832503,0.44686680336870593,1555,4159,21
2,0.9943861020685938,0.9158831203150131,0.6061499503486947,2070,5983,22
3,0.9981259975714702,0.8781568384012342,0.47754403812271956,3040,9729,22
4,0.9817841000174087,0.8964730569542935,0.5341853395207937,4308,14064,29
5,0.9800141967987859,0.9195812795751486,0.6332337670170501,5137,18092,24
6,0.9962400501897465,0.9641865466603563,0.6130947212696651,5558,19890,24
7,0.9998483882577266,0.9773280552987013,0.6717448149977889,5757,20893,20
8,0.9974461787165723,0.989575904951239,0.7170759277909027,5844,21314,25
9,0.9949056509128493,0.9948910574716563,0.7157064403657424,5881,21492,27
